Id,Sentences,Aspects,Polarities
es_9reinas_10_JordiCollGranell_2014-09-21,"['Nos sentimos muy a gusto.', 'Buen servicio_ ambiente Acogedor  y tranquilo_ comida bien.', 'Muy recomendable']","['RESTAURANT', 'SERVICE', 'AMBIENCE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_12_RomanAlimena_2014-09-04,"['La atencion es muy buena_ los camareros estan muy pendientes de uno todo el tiempo.', 'Y la comida espectacular_ por eso lo bueno se paga...', 'Lo unico que vi flojo es que pedi un poco de salsa provenzal y nos la cobraron_ por lo demas todo bien.']","['SERVICE', 'FOOD', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'negative', 'positive']"
es_9reinas_14_AngelEspanolPuig_2014-06-26,"['Nada especial.', 'Me habían comentado maravillas y está bien_ pero nada más.', 'Las carnes bien_ pero como muchas otras.', 'El precio_ por lo que es la comida_ para mi gusto es elevado.']","['RESTAURANT', 'FOOD', 'FOOD']","['neutral', 'neutral', 'negative']"
es_9reinas_17_JoseCarlosLopez_2014-02-24,['la calidad del producto_ el servicio_ el entorno todo fue excelente'],"['FOOD', 'SERVICE', 'AMBIENCE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_18_DanielGonzalez_2014-02-01,"['9reinas ya sido una de las mejores experiencias que hemos tenido en los últimos años.', 'El servicio es muy bueno y la calidad de la comida al mismo nivel.', 'Los precios adecuados  y bien puedes hacer un mayor o menor gasto en función de tu bolsillo por que la carta es muy amplia.', 'Volveremos.']","['RESTAURANT', 'SERVICE', 'FOOD', 'RESTAURANT', 'FOOD']","['positive', 'positive', 'positive', 'positive', 'positive']"
es_9reinas_23_MJoseVillalbaSedano_2013-12-22,"['Fabuloso_ muy atentos la comida excelente y un ambiente estupendo.', 'Mis amigos quedaron encantados y nosotros tambien.', 'Vale la pena ir y probar sus carnes.']","['FOOD', 'AMBIENCE', 'RESTAURANT', 'SERVICE']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_24_PilarTorresCarbajo_2013-12-22,"['El restaurante es precioso_ moderno y acogedor.', 'La comida está deliciosa y es de calidad.', 'El servicio muy atento.']","['AMBIENCE', 'FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_26_Lucia_2013-12-10,"['Hemos ido varias veces a cenar al 9reinas y nunca defrauda!', 'La calidad de las carnes el excelente servicio y su buena bodega lo convierte en un lugar espectacular!!', 'Sin duda repetiremos.']","['RESTAURANT', 'FOOD', 'SERVICE', 'DRINKS']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_29_MarionCanavera_2013-07-14,"['restaurante excelente con carne de alta calidad.', 'Nos encanto!']","['RESTAURANT', 'FOOD']","['positive', 'positive']"
es_9reinas_2_AlbertMuntana_2015-03-09,['La verdad es que todo muy bien; el servicio_ la comida y la apariencia_ todo correcto.'],"['RESTAURANT', 'SERVICE', 'FOOD', 'AMBIENCE']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_30_LauraMallen_2013-06-23,"['Hemos ido a cenar y la verdad es que nos ha encantado.', 'el sitio es muy bonito la comida estupenda y el trato inmejorable.', 'totalmente recomendable']","['RESTAURANT', 'AMBIENCE', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_31_Sp_2013-06-22,"['Ha sido todo excelente_ la calidad_ los tiempos_ el ambiente (quizas demasiado iluminado) y el servicio.', 'El dulce de leche es divino.']","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'neutral', 'positive', 'positive']"
es_9reinas_32_JordiFriasMartinez_2013-05-07,"['Primera visita a este Restaurante con resultado satisfactorio.', 'Calidad_ profesionalidad y precio acorde con la oferta.']","['RESTAURANT', 'FOOD', 'RESTAURANT', 'SERVICE']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_35_Seasexandsun_2013-04-02,['Casi como en Argentina.'],['RESTAURANT'],['positive']
es_9reinas_38_AdamNash_2013-02-13,"['Fantastico!!!', 'Delicioso!!!']",['RESTAURANT'],['positive']
es_9reinas_3_OliviaPotet_2015-01-15,"['resaturante fantástico con excelente comida y servicio aun mejor!!!!', 'tremenda amabilidad_ es un gustazo!']","['RESTAURANT', 'FOOD', 'SERVICE']","['positive', 'positive', 'positive']"
es_9reinas_40_RichardHobohm_2013-01-03,"['Servicio muy bueno_ faltan platitos para el pan_ pero a pesar de eso_ todo correcto.', 'Estaria bien musica argentina.', 'Los precios estan dentro de los parametros normales.']","['SERVICE', 'AMBIENCE', 'RESTAURANT', 'RESTAURANT']","['positive', 'negative', 'neutral', 'positive']"
es_9reinas_42_EduardoCubero_2012-12-04,"['Estuve ayer en una comida de negocio con un cliente y tanto el servicio como la calidad de la comida fué excelente.', 'Enhorabuena!!']","['SERVICE', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_9reinas_47_SandraMonica_2012-08-15,"['Un buen restaurant_ aunque algo caro para la cantidad de comida que se sirve en el plato.', 'La tira de asado normal_ nada extraordinaria.', 'Muy bien los postres y el matambre.', 'Se podria mejorar la iluminación en la planta superior_ demasiada luz plana.']","['RESTAURANT', 'FOOD', 'FOOD', 'AMBIENCE']","['positive', 'negative', 'neutral', 'negative']"
es_9reinas_48_DamarisRodriguezPerez_2012-07-30,"['Recomendable 100%.', 'Un sitio precioso_ con un ambiente exquisito.', 'El servicio inmejorable y la comida excepcional!!']","['RESTAURANT', 'AMBIENCE', 'SERVICE', 'FOOD']","['positive', 'positive', 'positive', 'positive']"
es_9reinas_49_AntonioBlancoLopez_2012-07-16,"['Exquisitas las ensaladas y la carne.', 'Abundante comida.', 'Seguro que no te quedas con hambre y la claidad excelente.']","['FOOD', 'FOOD', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_9reinas_50_Joan_2012-06-03,['La calidad de las carnes es insuperable y quiero destacar el excelente servicio recibido.'],"['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_9reinas_51_MiguelNunez_2011-12-23,['Si no has probado sus carnes te estas perdiendo algo muy grande!'],"['FOOD', 'RESTAURANT']","['positive', 'positive']"
es_9reinas_52_MarianCamps_2011-12-11,"['Estuve cenando con unos amigos y la comida estuvo riquísima y el trato de las camareras excelente.', 'Repetiremos seguro!!', 'Lo mejor: dejarse aconsejar por ellos a la hora de elegir plato.']","['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive']"
es_9reinas_53_Adriana_2011-12-01,"['Me encanto!!!', 'Sobran las palabras...volveré seguro!']",['RESTAURANT'],['positive']
es_9reinas_54_MartaColomer_2011-11-24,['El restaurants comimos muy bien y ademas un servicio encantador y eficiente.'],"['FOOD', 'SERVICE', 'RESTAURANT']","['positive', 'positive', 'positive']"
